anio,trimestre,velocidadMediaDesc,ingresos
2022,3,62.46,67055929.819
2022,2,58.44,60335723.871
2022,1,55.11,55589997.051
2021,4,52.34,45467887.165
2021,3,48.46,42999944.293
2021,2,45.63,38239666.634
2021,1,43.11,36676371.362
2020,4,42.36,33539702.716
2020,3,40.67,31997444.531
2020,2,38.32,32102475.991
2020,1,37.52,29946216.452
2019,4,28.26,24169250.699
2019,3,24.18,21652748.445
2019,2,20.33,20743117.694
2019,1,17.38,20207413.771
2018,4,15.95,16637686.589
2018,3,15.36,15410980.693
2018,2,13.85,14319467.461
2018,1,13.221,13171459.231
2017,4,12.008,11226127.389
2017,3,8.339,10065997.862
2017,2,7.16,9678646.928
2017,1,6.624,8701201.421
2016,4,6.337,7483980.393
2016,3,5.939,6912441.539
2016,2,5.424,6534240.598
2016,1,5.084,5936844.886
2015,4,4.99,5376899.206
2015,3,4.789,5153738.884
2015,2,4.545,4701790.72
2015,1,4.35,4876385.315
2014,4,4.157,3950440.78
2014,3,3.867,3478637.743
2014,2,3.759,3270816.204
2014,1,3.617,2984054.209
